Tweet id,Tweet text,time,impressions,engagements,engagement rate,retweets,replies,likes
1234567890,"如何用 AI 10 倍提升开发效率 - 完整指南",2025-01-15 10:30,15000,1200,0.08,180,45,975
1234567891,"个人品牌打造的 7 个关键步骤",2025-01-14 14:20,22000,2100,0.095,320,88,1692
1234567892,"被动收入系统完整指南",2025-01-13 09:15,8500,450,0.053,65,28,357
1234567893,"时间管理的反常识思考",2025-01-12 16:45,18000,1650,0.092,245,102,1303
1234567894,"内容创作的底层逻辑",2025-01-11 11:30,12000,980,0.082,142,56,782
1234567895,"如何建立自己的知识体系",2025-01-10 08:20,5200,280,0.054,38,15,227
1234567896,"编程思维 vs 产品思维",2025-01-09 13:40,9800,720,0.073,98,42,580
1234567897,"为什么你需要第二大脑",2025-01-08 15:15,14500,1100,0.076,165,68,867
1234567898,"高效学习的 5 个认知误区",2025-01-07 10:00,7600,420,0.055,58,25,337
1234567899,"从 0 到 1 建立个人 IP",2025-01-06 12:30,19500,1850,0.095,280,95,1475
